localidade;municipio;aparelho_pesca;pescado;kg_periodo;n_descargas;n_ups;valor
Litoral Norte;São Sebastião;arrasto-de-mão;Caratinga;3,00;1,00;1,00;R$ 30,00
Litoral Norte;São Sebastião;arrasto-de-mão;Corvina;103,00;4,00;1,00;R$ 1.545,00
Litoral Norte;São Sebastião;arrasto-de-mão;Enchova;36,00;4,00;1,00;R$ 745,00
Litoral Norte;São Sebastião;arrasto-de-mão;Guaivira;11,00;1,00;1,00;R$ 55,00
Litoral Norte;São Sebastião;arrasto-de-mão;Machote;134,00;3,00;1,00;R$ 2.680,00
Litoral Norte;São Sebastião;arrasto-de-mão;Oveva;45,00;4,00;1,00;R$ 225,00
Litoral Norte;São Sebastião;arrasto-de-mão;Pescada-foguete;116,00;5,00;1,00;R$ 2.320,00
Litoral Norte;São Sebastião;arrasto-de-mão;Prejereba;5,00;1,00;1,00;R$ 100,00
Litoral Norte;São Sebastião;arrasto-de-mão;Robalo-flecha;249,00;5,00;1,00;R$ 9.960,00
Litoral Norte;São Sebastião;arrasto-de-mão;Robalo-peva;8,00;1,00;1,00;R$ 320,00
Litoral Norte;São Sebastião;arrasto-de-mão;Sororoca;72,00;1,00;1,00;R$ 1.440,00
Litoral Norte;São Sebastião;arrasto-de-mão;Tainha;543,00;5,00;1,00;R$ 8.895,00
Litoral Norte;São Sebastião;arrasto-duplo;Betara;975,00;48,00;11,00;R$ 6.514,00
Litoral Norte;São Sebastião;arrasto-duplo;Cabrinha;80,00;1,00;1,00;R$ 320,00
Litoral Norte;São Sebastião;arrasto-duplo;Camarão-legítimo;15465,47;746,00;54,00;R$ 753.734,25
Litoral Norte;São Sebastião;arrasto-duplo;Camarão-sete-barbas;282049,00;1010,00;55,00;R$ 2.288.053,00
Litoral Norte;São Sebastião;arrasto-duplo;Cangoá;24,00;3,00;1,00;R$ 120,00
Litoral Norte;São Sebastião;arrasto-duplo;Caratinga;73,00;2,00;2,00;R$ 182,50
Litoral Norte;São Sebastião;arrasto-duplo;Corvina;698,10;18,00;7,00;R$ 3.036,80
Litoral Norte;São Sebastião;arrasto-duplo;Galo;17,00;1,00;1,00;R$ 68,00
Litoral Norte;São Sebastião;arrasto-duplo;Goete;81,00;3,00;1,00;R$ 324,00
Litoral Norte;São Sebastião;arrasto-duplo;Linguado;17,70;2,00;2,00;R$ 318,60
Litoral Norte;São Sebastião;arrasto-duplo;Lula;258,45;53,00;19,00;R$ 2.584,50
Litoral Norte;São Sebastião;arrasto-duplo;Maria-luíza;543,35;40,00;7,00;R$ 2.694,40
Litoral Norte;São Sebastião;arrasto-duplo;Mistura;10986,05;376,00;41,00;R$ 44.203,20
Litoral Norte;São Sebastião;arrasto-duplo;Oveva;483,00;38,00;5,00;R$ 2.415,00
Litoral Norte;São Sebastião;arrasto-duplo;Pescada-amarela;8,00;1,00;1,00;R$ 80,00
Litoral Norte;São Sebastião;arrasto-duplo;Pescada-banana;499,00;21,00;10,00;R$ 5.836,00
Litoral Norte;São Sebastião;arrasto-duplo;Pescada-branca;129,00;7,00;5,00;R$ 1.290,00
Litoral Norte;São Sebastião;arrasto-duplo;Pescada-cambucu;305,87;19,00;10,00;R$ 3.234,70
Litoral Norte;São Sebastião;arrasto-duplo;Pescada-foguete;397,00;23,00;3,00;R$ 7.940,00
Litoral Norte;São Sebastião;arrasto-duplo;Pescadas agrupadas;4864,30;154,00;27,00;R$ 48.883,00
Litoral Norte;São Sebastião;arrasto-duplo;Polvo;95,13;13,00;7,00;R$ 3.329,55
Litoral Norte;São Sebastião;arrasto-duplo;Robalo;32,10;6,00;4,00;R$ 1.241,00
Litoral Norte;São Sebastião;arrasto-duplo;Robalo-flecha;5,98;1,00;1,00;R$ 269,10
Litoral Norte;São Sebastião;arrasto-duplo;Siri-azul;1038,00;44,00;11,00;R$ 1.539,50
Litoral Norte;São Sebastião;arrasto-duplo;Tortinha;310,00;6,00;6,00;R$ 3.015,00
Litoral Norte;São Sebastião;arrasto-simples;Camarão-legítimo;50,00;14,00;1,00;R$ 1.840,00
Litoral Norte;São Sebastião;arrasto-simples;Camarão-sete-barbas;2950,00;20,00;1,00;R$ 23.976,50
Litoral Norte;São Sebastião;arrasto-simples;Mistura;200,00;6,00;1,00;R$ 840,00
Litoral Norte;São Sebastião;cerco-flutuante;Agulha;1907,30;28,00;4,00;R$ 3.918,90
Litoral Norte;São Sebastião;cerco-flutuante;Bicuda;269,50;26,00;7,00;R$ 2.836,50
Litoral Norte;São Sebastião;cerco-flutuante;Bonito-cachorra;1142,14;17,00;6,00;R$ 4.633,56
Litoral Norte;São Sebastião;cerco-flutuante;Bonito-pintado;1171,50;24,00;9,00;R$ 6.277,50
Litoral Norte;São Sebastião;cerco-flutuante;Cações agrupados;2,82;1,00;1,00;R$ 29,30
Litoral Norte;São Sebastião;cerco-flutuante;Carapau;6527,50;34,00;7,00;R$ 49.757,00
Litoral Norte;São Sebastião;cerco-flutuante;Caratinga;56,00;3,00;2,00;R$ 250,00
Litoral Norte;São Sebastião;cerco-flutuante;Cavala;62,47;12,00;5,00;R$ 1.486,40
Litoral Norte;São Sebastião;cerco-flutuante;Corvina;18,20;6,00;4,00;R$ 153,30
Litoral Norte;São Sebastião;cerco-flutuante;Dourado;18,00;1,00;1,00;R$ 324,00
Litoral Norte;São Sebastião;cerco-flutuante;Enchova;311,38;20,00;6,00;R$ 6.082,77
Litoral Norte;São Sebastião;cerco-flutuante;Espada;11963,20;69,00;10,00;R$ 73.013,90
Litoral Norte;São Sebastião;cerco-flutuante;Galo;58,00;3,00;2,00;R$ 262,00
Litoral Norte;São Sebastião;cerco-flutuante;Guaivira;205,00;8,00;4,00;R$ 892,00
Litoral Norte;São Sebastião;cerco-flutuante;Lula;88,90;16,00;5,00;R$ 3.157,50
Litoral Norte;São Sebastião;cerco-flutuante;Machote;70,00;1,00;1,00;R$ 1.750,00
Litoral Norte;São Sebastião;cerco-flutuante;Mistura;511,50;36,00;8,00;R$ 2.201,00
Litoral Norte;São Sebastião;cerco-flutuante;Olhete;11,20;5,00;3,00;R$ 203,60
Litoral Norte;São Sebastião;cerco-flutuante;Olho-de-boi;74,58;7,00;3,00;R$ 1.864,50
Litoral Norte;São Sebastião;cerco-flutuante;Olho-de-cão;62,00;3,00;1,00;R$ 310,00
Litoral Norte;São Sebastião;cerco-flutuante;Palombeta;55,00;4,00;4,00;R$ 210,00
Litoral Norte;São Sebastião;cerco-flutuante;Pampo;1,80;1,00;1,00;R$ 8,10
Litoral Norte;São Sebastião;cerco-flutuante;Parati;42,40;7,00;3,00;R$ 354,20
Litoral Norte;São Sebastião;cerco-flutuante;Paru;144,00;6,00;4,00;R$ 666,00
Litoral Norte;São Sebastião;cerco-flutuante;Pescada-branca;26,50;4,00;3,00;R$ 437,25
Litoral Norte;São Sebastião;cerco-flutuante;Pescada-cambucu;25,90;8,00;4,00;R$ 478,15
Litoral Norte;São Sebastião;cerco-flutuante;Pescadas agrupadas;5,50;2,00;1,00;R$ 84,00
Litoral Norte;São Sebastião;cerco-flutuante;Pirajica;3347,00;28,00;8,00;R$ 14.768,00
Litoral Norte;São Sebastião;cerco-flutuante;Porco;177,00;3,00;2,00;R$ 1.062,00
Litoral Norte;São Sebastião;cerco-flutuante;Porco-chinelo;6150,60;36,00;6,00;R$ 49.204,80
Litoral Norte;São Sebastião;cerco-flutuante;Robalo-flecha;47,90;4,00;3,00;R$ 2.224,50
Litoral Norte;São Sebastião;cerco-flutuante;Savelha;117,00;2,00;2,00;R$ 234,00
Litoral Norte;São Sebastião;cerco-flutuante;Sororoca;497,80;23,00;9,00;R$ 6.729,90
Litoral Norte;São Sebastião;cerco-flutuante;Tainha;1983,35;9,00;5,00;R$ 25.261,50
Litoral Norte;São Sebastião;cerco-flutuante;Vermelho-henrique;46,07;19,00;5,00;R$ 864,31
Litoral Norte;São Sebastião;cerco-flutuante;Xarelete;35,00;2,00;2,00;R$ 140,00
Litoral Norte;São Sebastião;cerco-flutuante;Xaréu;73,90;6,00;3,00;R$ 806,80
Litoral Norte;São Sebastião;cerco-flutuante;Xaréu-branco;84,50;5,00;2,00;R$ 1.394,25
Litoral Norte;São Sebastião;cerco-flutuante;Xixarro;1087,00;9,00;2,00;R$ 2.174,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Agulha;610,00;6,00;1,00;R$ 1.242,40
Litoral Norte;São Sebastião;emalhe-de-fundo;Bagre;269,50;38,00;5,00;R$ 1.641,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Bagre-amarelo;4,00;1,00;1,00;R$ 20,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Bagre-branco;202,00;3,00;2,00;R$ 2.030,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Betara;45,00;5,00;4,00;R$ 490,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Bicuda;32,90;5,00;2,00;R$ 263,20
Litoral Norte;São Sebastião;emalhe-de-fundo;Bonito-cachorra;26,00;2,00;2,00;R$ 104,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Bonito-pintado;250,00;4,00;3,00;R$ 1.250,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Cabrinha;6,00;1,00;1,00;R$ 15,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Cações agrupados;240,78;14,00;3,00;R$ 3.106,85
Litoral Norte;São Sebastião;emalhe-de-fundo;Camarão-legítimo;4,00;1,00;1,00;R$ 200,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Cambeva;21,00;2,00;2,00;R$ 420,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Carapau;1005,00;5,00;2,00;R$ 8.062,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Carapeba;18,00;2,00;1,00;R$ 76,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Cavala;25,00;1,00;1,00;R$ 500,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Corvina;11855,10;75,00;14,00;R$ 101.037,80
Litoral Norte;São Sebastião;emalhe-de-fundo;Dourado;10,40;1,00;1,00;R$ 187,20
Litoral Norte;São Sebastião;emalhe-de-fundo;Enchova;487,20;13,00;3,00;R$ 8.038,80
Litoral Norte;São Sebastião;emalhe-de-fundo;Espada;368,00;8,00;3,00;R$ 2.578,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Galo;6,00;1,00;1,00;R$ 18,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Garoupa;10,00;1,00;1,00;R$ 300,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Guaivira;1029,00;19,00;7,00;R$ 4.850,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Linguado;1,00;1,00;1,00;R$ 18,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Machote;320,00;9,00;6,00;R$ 6.670,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Maria-luíza;17,00;3,00;3,00;R$ 85,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Mistura;467,00;62,00;5,00;R$ 2.167,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Olhete;48,10;4,00;2,00;R$ 887,80
Litoral Norte;São Sebastião;emalhe-de-fundo;Olho-de-boi;28,10;3,00;1,00;R$ 702,50
Litoral Norte;São Sebastião;emalhe-de-fundo;Olho-de-cão;21,00;4,00;2,00;R$ 105,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Oveva;143,00;20,00;6,00;R$ 739,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Palombeta;17,00;1,00;1,00;R$ 68,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Parati;290,50;47,00;4,00;R$ 2.831,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Paru;12,80;4,00;3,00;R$ 69,20
Litoral Norte;São Sebastião;emalhe-de-fundo;Pescada-amarela;102,00;3,00;2,00;R$ 3.010,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Pescada-branca;20,50;6,00;2,00;R$ 348,50
Litoral Norte;São Sebastião;emalhe-de-fundo;Pescada-cambucu;175,99;13,00;8,00;R$ 3.905,82
Litoral Norte;São Sebastião;emalhe-de-fundo;Pescada-foguete;365,00;8,00;4,00;R$ 7.660,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Pescadas agrupadas;55,70;15,00;4,00;R$ 1.035,50
Litoral Norte;São Sebastião;emalhe-de-fundo;Pirajica;79,00;5,00;2,00;R$ 616,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Porco;4,00;1,00;1,00;R$ 60,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Porco-chinelo;1124,00;5,00;1,00;R$ 8.992,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Prejereba;88,00;24,00;3,00;R$ 1.980,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Robalo;4,10;1,00;1,00;R$ 184,50
Litoral Norte;São Sebastião;emalhe-de-fundo;Robalo-flecha;251,50;15,00;5,00;R$ 10.215,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Robalo-peva;3,00;1,00;1,00;R$ 120,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Sargo;1,00;1,00;1,00;R$ 20,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Sari-sari;24,00;5,00;2,00;R$ 215,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Savelha;12,00;3,00;2,00;R$ 30,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Siris agrupados;38,00;8,00;2,00;R$ 205,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Sororoca;120,30;12,00;6,00;R$ 1.487,70
Litoral Norte;São Sebastião;emalhe-de-fundo;Tainha;295,00;45,00;7,00;R$ 4.406,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Vermelho-henrique;203,10;12,00;7,00;R$ 5.397,15
Litoral Norte;São Sebastião;emalhe-de-fundo;Viola;300,00;1,00;1,00;R$ 4.500,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Xaréu;57,80;7,00;3,00;R$ 578,00
Litoral Norte;São Sebastião;emalhe-de-fundo;Xixarro;307,00;3,00;1,00;R$ 614,00
Litoral Norte;São Sebastião;emalhe-de-superfície;Porco-chinelo;50,00;1,00;1,00;R$ 600,00
Litoral Norte;São Sebastião;emalhe-de-superfície;Tainha;1230,00;8,00;5,00;R$ 24.600,00
Litoral Norte;São Sebastião;emalhes-diversos;Betara;1,00;1,00;1,00;R$ 8,00
Litoral Norte;São Sebastião;emalhes-diversos;Bicuda;1,00;1,00;1,00;R$ 10,00
Litoral Norte;São Sebastião;emalhes-diversos;Bonito-cachorra;20,00;1,00;1,00;R$ 100,00
Litoral Norte;São Sebastião;emalhes-diversos;Bonito-pintado;297,00;3,00;2,00;R$ 1.566,00
Litoral Norte;São Sebastião;emalhes-diversos;Bonitos agrupados;60,00;1,00;1,00;R$ 360,00
Litoral Norte;São Sebastião;emalhes-diversos;Cações agrupados;41,33;4,00;1,00;R$ 594,65
Litoral Norte;São Sebastião;emalhes-diversos;Camarão-legítimo;21,50;7,00;2,00;R$ 1.095,00
Litoral Norte;São Sebastião;emalhes-diversos;Cambeva;126,00;3,00;2,00;R$ 2.630,00
Litoral Norte;São Sebastião;emalhes-diversos;Carapau;33,60;3,00;2,00;R$ 568,00
Litoral Norte;São Sebastião;emalhes-diversos;Caratinga;60,00;2,00;2,00;R$ 500,00
Litoral Norte;São Sebastião;emalhes-diversos;Cavala;6,50;2,00;2,00;R$ 262,50
Litoral Norte;São Sebastião;emalhes-diversos;Corvina;255,50;11,00;5,00;R$ 3.752,50
Litoral Norte;São Sebastião;emalhes-diversos;Enchova;468,30;7,00;5,00;R$ 14.331,00
Litoral Norte;São Sebastião;emalhes-diversos;Espada;42,00;5,00;3,00;R$ 390,00
Litoral Norte;São Sebastião;emalhes-diversos;Galo;9,40;3,00;1,00;R$ 67,40
Litoral Norte;São Sebastião;emalhes-diversos;Guaivira;405,00;11,00;5,00;R$ 2.420,00
Litoral Norte;São Sebastião;emalhes-diversos;Machote;136,00;4,00;3,00;R$ 3.090,00
Litoral Norte;São Sebastião;emalhes-diversos;Mistura;139,20;31,00;6,00;R$ 696,00
Litoral Norte;São Sebastião;emalhes-diversos;Olho-de-boi;1,40;1,00;1,00;R$ 35,00
Litoral Norte;São Sebastião;emalhes-diversos;Olho-de-cão;3,00;2,00;1,00;R$ 24,00
Litoral Norte;São Sebastião;emalhes-diversos;Oveva;2,00;1,00;1,00;R$ 10,00
Litoral Norte;São Sebastião;emalhes-diversos;Pampo;1,00;1,00;1,00;R$ 6,00
Litoral Norte;São Sebastião;emalhes-diversos;Parati;504,00;21,00;4,00;R$ 3.361,00
Litoral Norte;São Sebastião;emalhes-diversos;Pescada-branca;12,00;3,00;1,00;R$ 200,00
Litoral Norte;São Sebastião;emalhes-diversos;Pirajica;229,00;4,00;3,00;R$ 1.580,00
Litoral Norte;São Sebastião;emalhes-diversos;Porco;50,65;5,00;2,00;R$ 701,20
Litoral Norte;São Sebastião;emalhes-diversos;Prejereba;9,50;2,00;1,00;R$ 190,00
Litoral Norte;São Sebastião;emalhes-diversos;Robalo-flecha;14,00;3,00;2,00;R$ 565,00
Litoral Norte;São Sebastião;emalhes-diversos;Robalo-peva;27,00;2,00;1,00;R$ 1.080,00
Litoral Norte;São Sebastião;emalhes-diversos;Sari-sari;3,00;1,00;1,00;R$ 15,00
Litoral Norte;São Sebastião;emalhes-diversos;Sororoca;1272,35;25,00;8,00;R$ 26.622,75
Litoral Norte;São Sebastião;emalhes-diversos;Tainha;2090,80;21,00;8,00;R$ 33.557,00
Litoral Norte;São Sebastião;emalhes-diversos;Vermelho-henrique;35,00;5,00;3,00;R$ 993,00
Litoral Norte;São Sebastião;emalhes-diversos;Xaréu;83,90;6,00;1,00;R$ 518,50
Litoral Norte;São Sebastião;emalhes-diversos;Xaréu-branco;93,00;2,00;1,00;R$ 1.645,00
Litoral Norte;São Sebastião;linha-de-mão;Bicuda;40,00;2,00;1,00;R$ 600,00
Litoral Norte;São Sebastião;linha-de-mão;Enchova;70,00;2,00;1,00;R$ 1.750,00
Litoral Norte;São Sebastião;linha-de-mão;Garoupa;75,00;1,00;1,00;R$ 2.625,00
Litoral Norte;São Sebastião;linha-de-mão;Porco;35,00;1,00;1,00;R$ 350,00
Litoral Norte;São Sebastião;linha-de-mão;Porco-chinelo;30,00;1,00;1,00;R$ 360,00
Litoral Norte;São Sebastião;zangarelho;Espada;12,00;1,00;1,00;R$ 60,00
Litoral Norte;São Sebastião;zangarelho;Lula;124,00;13,00;4,00;R$ 4.875,00
Litoral Centro;São Vicente;emalhe-de-fundo;Bagre-amarelo;41,00;2,00;1,00;R$ 102,50
Litoral Centro;São Vicente;emalhe-de-fundo;Cambeva;6,00;1,00;1,00;R$ 60,00
Litoral Centro;São Vicente;emalhe-de-fundo;Corvina;28,00;5,00;3,00;R$ 200,50
Litoral Centro;São Vicente;emalhe-de-fundo;Mistura;103,70;6,00;2,00;R$ 306,10
Litoral Centro;São Vicente;emalhe-de-fundo;Parati;5,00;1,00;1,00;R$ 20,00
Litoral Centro;São Vicente;emalhe-de-fundo;Pescada-amarela;118,70;7,00;3,00;R$ 3.385,50
Litoral Centro;São Vicente;emalhe-de-fundo;Pescada-dentão;121,55;7,00;2,00;R$ 1.458,60
Litoral Centro;São Vicente;emalhe-de-fundo;Robalo-flecha;450,45;13,00;3,00;R$ 15.536,75
Litoral Centro;São Vicente;emalhe-de-fundo;Robalo-peva;100,30;8,00;3,00;R$ 2.395,00
Litoral Centro;São Vicente;emalhe-de-fundo;Sargo;3,00;1,00;1,00;R$ 24,00
Litoral Centro;São Vicente;emalhe-de-superfície;Bagre-amarelo;89,80;8,00;2,00;R$ 272,75
Litoral Centro;São Vicente;emalhe-de-superfície;Cações agrupados;1,00;1,00;1,00;R$ 10,00
Litoral Centro;São Vicente;emalhe-de-superfície;Caratinga;2,20;1,00;1,00;R$ 15,40
Litoral Centro;São Vicente;emalhe-de-superfície;Corvina;379,25;24,00;1,00;R$ 2.846,50
Litoral Centro;São Vicente;emalhe-de-superfície;Guaivira;35,50;4,00;1,00;R$ 142,00
Litoral Centro;São Vicente;emalhe-de-superfície;Mistura;14,60;8,00;1,00;R$ 62,30
Litoral Centro;São Vicente;emalhe-de-superfície;Paru;25,00;3,00;1,00;R$ 92,20
Litoral Centro;São Vicente;emalhe-de-superfície;Pescada-amarela;21,55;8,00;1,00;R$ 289,72
Litoral Centro;São Vicente;emalhe-de-superfície;Pescada-branca;12,00;6,00;1,00;R$ 144,00
Litoral Centro;São Vicente;emalhe-de-superfície;Pescada-dentão;1,50;1,00;1,00;R$ 22,50
Litoral Centro;São Vicente;emalhe-de-superfície;Robalo-flecha;148,10;16,00;1,00;R$ 5.439,40
Litoral Centro;São Vicente;emalhe-de-superfície;Robalo-peva;55,14;20,00;1,00;R$ 1.469,20
Litoral Centro;São Vicente;emalhe-de-superfície;Sororoca;1,00;1,00;1,00;R$ 10,00
Litoral Centro;São Vicente;emalhe-de-superfície;Tainha;117,00;3,00;3,00;R$ 1.170,00
Litoral Centro;São Vicente;emalhes-diversos;Bagre-amarelo;59,60;5,00;3,00;R$ 193,00
Litoral Centro;São Vicente;emalhes-diversos;Bagre-branco;1636,50;7,00;3,00;R$ 9.098,00
Litoral Centro;São Vicente;emalhes-diversos;Betara;0,80;1,00;1,00;R$ 6,40
Litoral Centro;São Vicente;emalhes-diversos;Carapeba;25,00;2,00;1,00;R$ 125,00
Litoral Centro;São Vicente;emalhes-diversos;Caratinga;791,40;28,00;4,00;R$ 5.498,00
Litoral Centro;São Vicente;emalhes-diversos;Corvina;237,25;22,00;5,00;R$ 1.951,95
Litoral Centro;São Vicente;emalhes-diversos;Espada;4,00;2,00;1,00;R$ 20,00
Litoral Centro;São Vicente;emalhes-diversos;Galo;5,60;1,00;1,00;R$ 28,00
Litoral Centro;São Vicente;emalhes-diversos;Garoupa;3,30;1,00;1,00;R$ 132,00
Litoral Centro;São Vicente;emalhes-diversos;Guaivira;47,50;6,00;3,00;R$ 199,50
Litoral Centro;São Vicente;emalhes-diversos;Mistura;433,80;42,00;8,00;R$ 1.950,50
Litoral Centro;São Vicente;emalhes-diversos;Parati;50275,70;318,00;11,00;R$ 207.204,80
Litoral Centro;São Vicente;emalhes-diversos;Pescada-amarela;13,40;4,00;2,00;R$ 178,50
Litoral Centro;São Vicente;emalhes-diversos;Pescada-branca;16,60;3,00;2,00;R$ 238,20
Litoral Centro;São Vicente;emalhes-diversos;Pescada-dentão;2,10;1,00;1,00;R$ 21,00
Litoral Centro;São Vicente;emalhes-diversos;Porco;3,00;1,00;1,00;R$ 45,00
Litoral Centro;São Vicente;emalhes-diversos;Prejereba;2,20;1,00;1,00;R$ 22,00
Litoral Centro;São Vicente;emalhes-diversos;Robalo-flecha;248,45;22,00;6,00;R$ 8.994,85
Litoral Centro;São Vicente;emalhes-diversos;Robalo-peva;26,10;7,00;3,00;R$ 631,50
Litoral Centro;São Vicente;emalhes-diversos;Siri-azul;2,01;3,00;2,00;R$ 16,00
Litoral Centro;São Vicente;emalhes-diversos;Sororoca;2,40;1,00;1,00;R$ 28,80
Litoral Centro;São Vicente;emalhes-diversos;Tainha;1126,10;48,00;5,00;R$ 10.279,90
Litoral Centro;São Vicente;extrativismo;Caranguejo-uçá;66,37;2,00;1,00;R$ 960,00
Litoral Centro;São Vicente;gerival;Camarão-legítimo;120,79;81,00;2,00;R$ 18.766,60
Litoral Norte;Ubatuba;arrasto-duplo;Anequim;16,00;1,00;1,00;R$ 288,00
Litoral Norte;Ubatuba;arrasto-duplo;Bagre-amarelo;6,00;1,00;1,00;R$ 30,00
Litoral Norte;Ubatuba;arrasto-duplo;Bagre-branco;9,20;1,00;1,00;R$ 46,00
Litoral Norte;Ubatuba;arrasto-duplo;Betara;5660,50;202,00;53,00;R$ 22.790,35
Litoral Norte;Ubatuba;arrasto-duplo;Cabrinha;3134,20;39,00;21,00;R$ 8.030,45
Litoral Norte;Ubatuba;arrasto-duplo;Cação-rola-rola;2,10;2,00;2,00;R$ 33,50
Litoral Norte;Ubatuba;arrasto-duplo;Camarão-legítimo;4883,60;605,00;69,00;R$ 196.890,90
Litoral Norte;Ubatuba;arrasto-duplo;Camarão-rosa;36358,00;167,00;32,00;R$ 1.946.766,95
Litoral Norte;Ubatuba;arrasto-duplo;Camarão-sete-barbas;123882,70;1342,00;75,00;R$ 1.275.396,60
Litoral Norte;Ubatuba;arrasto-duplo;Cangoá;78,00;3,00;2,00;R$ 390,00
Litoral Norte;Ubatuba;arrasto-duplo;Caranha;30,00;1,00;1,00;R$ 600,00
Litoral Norte;Ubatuba;arrasto-duplo;Corvina;6429,70;161,00;37,00;R$ 35.638,96
Litoral Norte;Ubatuba;arrasto-duplo;Dourado;21,20;3,00;3,00;R$ 310,80
Litoral Norte;Ubatuba;arrasto-duplo;Espada;1,00;1,00;1,00;R$ 8,00
Litoral Norte;Ubatuba;arrasto-duplo;Galo;4,00;1,00;1,00;R$ 20,00
Litoral Norte;Ubatuba;arrasto-duplo;Goete;1989,70;69,00;27,00;R$ 7.443,70
Litoral Norte;Ubatuba;arrasto-duplo;Lagostim;8,00;1,00;1,00;R$ 80,00
Litoral Norte;Ubatuba;arrasto-duplo;Linguado;1777,46;103,00;33,00;R$ 24.143,16
Litoral Norte;Ubatuba;arrasto-duplo;Lula;726,30;88,00;44,00;R$ 14.575,00
Litoral Norte;Ubatuba;arrasto-duplo;Machote;3,60;1,00;1,00;R$ 72,00
Litoral Norte;Ubatuba;arrasto-duplo;Maria-luíza;1895,00;115,00;29,00;R$ 6.446,00
Litoral Norte;Ubatuba;arrasto-duplo;Maria-mole;255,00;4,00;3,00;R$ 1.020,00
Litoral Norte;Ubatuba;arrasto-duplo;Mistura;13203,90;514,00;86,00;R$ 62.293,70
Litoral Norte;Ubatuba;arrasto-duplo;Namorado;47,00;3,00;3,00;R$ 975,00
Litoral Norte;Ubatuba;arrasto-duplo;Oveva;297,00;16,00;9,00;R$ 1.130,00
Litoral Norte;Ubatuba;arrasto-duplo;Pescada-banana;877,00;98,00;38,00;R$ 5.674,50
Litoral Norte;Ubatuba;arrasto-duplo;Pescada-branca;199,78;33,00;19,00;R$ 1.797,30
Litoral Norte;Ubatuba;arrasto-duplo;Pescada-cambucu;4499,00;289,00;54,00;R$ 25.953,40
Litoral Norte;Ubatuba;arrasto-duplo;Pescada-foguete;388,30;24,00;14,00;R$ 4.102,60
Litoral Norte;Ubatuba;arrasto-duplo;Polvo;1341,50;123,00;30,00;R$ 33.129,30
Litoral Norte;Ubatuba;arrasto-duplo;Porco;3273,20;92,00;26,00;R$ 15.207,00
Litoral Norte;Ubatuba;arrasto-duplo;Porco-peludo;3,00;1,00;1,00;R$ 15,00
Litoral Norte;Ubatuba;arrasto-duplo;Prejereba;12,00;2,00;2,00;R$ 180,00
Litoral Norte;Ubatuba;arrasto-duplo;Raia-emplastro;100,00;1,00;1,00;R$ 300,00
Litoral Norte;Ubatuba;arrasto-duplo;Raias agrupadas;20,00;1,00;1,00;R$ 80,00
Litoral Norte;Ubatuba;arrasto-duplo;Robalo-flecha;4,00;1,00;1,00;R$ 200,00
Litoral Norte;Ubatuba;arrasto-duplo;Roncador;18,00;1,00;1,00;R$ 36,00
Litoral Norte;Ubatuba;arrasto-duplo;Sapateira;8,10;2,00;2,00;R$ 232,00
Litoral Norte;Ubatuba;arrasto-duplo;Siri-candeia;632,90;62,00;23,00;R$ 3.103,50
Litoral Norte;Ubatuba;arrasto-duplo;Siri-pintado;9,00;1,00;1,00;R$ 45,00
Litoral Norte;Ubatuba;arrasto-duplo;Tira-vira;140,20;6,00;4,00;R$ 518,00
Litoral Norte;Ubatuba;arrasto-duplo;Tortinha;13,00;1,00;1,00;R$ 130,00
